addr,name,size,decomp_ok
08000158,thunk_FUN_0800e818,4,1
08000168,FUN_08000168,588,1
080003bc,FUN_080003bc,8,1
080003c6,FUN_080003c6,232,1
080003e8,FUN_080003e8,2,1
080003f4,FUN_080003f4,98,1
08000456,FUN_08000456,12,1
08000464,FUN_08000464,138,1
080004f8,FUN_080004f8,36,1
0800051c,FUN_0800051c,14,1
0800052a,FUN_0800052a,4,1
0800052e,FUN_0800052e,18,1
08000540,FUN_08000540,36,1
08000564,FUN_08000564,24,1
0800057c,FUN_0800057c,20,1
08000590,FUN_08000590,14,1
0800059e,FUN_0800059e,26,1
080005b8,FUN_080005b8,18,1
080005ca,FUN_080005ca,30,1
080005e8,FUN_080005e8,26,1
08000602,FUN_08000602,352,1
08000744,FUN_08000744,6,1
0800074a,FUN_0800074a,6,1
08000750,FUN_08000750,228,1
08000834,FUN_08000834,34,1
08000856,FUN_08000856,26,1
08000870,FUN_08000870,62,1
080008ae,FUN_080008ae,38,1
080008d4,FUN_080008d4,48,1
08000904,FUN_08000904,48,1
08000934,FUN_08000934,26,1
0800094e,FUN_0800094e,36,1
08000972,FUN_08000972,44,1
0800099e,FUN_0800099e,30,1
080009bc,FUN_080009bc,32,1
080009dc,FUN_080009dc,36,1
08000a00,FUN_08000a00,112,1
08000a8e,FUN_08000a8e,156,1
08000b2a,FUN_08000b2a,222,1
08000c08,FUN_08000c08,46,1
08000c36,FUN_08000c36,48,1
08000c68,FUN_08000c68,36,1
08000c8c,FUN_08000c8c,4,1
08000c94,FUN_08000c94,158,1
08000d32,FUN_08000d32,162,1
08000dd4,FUN_08000dd4,28,1
08000df0,FUN_08000df0,86,1
08000e48,FUN_08000e48,146,1
08000f04,FUN_08000f04,2,1
08000f06,FUN_08000f06,22,1
08000f1c,FUN_08000f1c,2,1
08000f1e,FUN_08000f1e,24,1
08000f38,FUN_08000f38,460,1
08001114,FUN_08001114,4,1
0800111c,FUN_0800111c,8,1
080012d0,FUN_080012d0,106,1
0800136c,FUN_0800136c,2,1
0800136e,FUN_0800136e,2,1
08001370,FUN_08001370,1372,1
08001b48,FUN_08001b48,2,1
08001b4c,FUN_08001b4c,66,1
08001bb8,FUN_08001bb8,34,1
08001bdc,FUN_08001bdc,72,1
08001c34,FUN_08001c34,50,1
08001c6c,FUN_08001c6c,86,1
08001cc8,FUN_08001cc8,22,1
08001cde,FUN_08001cde,382,1
08001e5c,FUN_08001e5c,42,1
08001e90,FUN_08001e90,82,1
08001ee8,FUN_08001ee8,184,1
08001fa0,FUN_08001fa0,42,1
08001fd0,FUN_08001fd0,96,1
08002034,FUN_08002034,60,1
08002074,FUN_08002074,110,1
080020bc,FUN_080020bc,48,1
08002120,FUN_08002120,34,1
08002148,FUN_08002148,2,1
0800214c,FUN_0800214c,462,1
080024dc,FUN_080024dc,76,1
08002558,FUN_08002558,10,1
08002568,FUN_08002568,234,1
080025a8,FUN_080025a8,68,1
080025ec,thunk_FUN_08012170,4,1
080025f0,FUN_080025f0,350,1
08002614,FUN_08002614,100,1
080026a0,FUN_080026a0,294,1
080026d4,FUN_080026d4,574,1
08002714,FUN_08002714,294,1
08002748,FUN_08002748,82,1
0800279c,FUN_0800279c,62,1
080027e0,FUN_080027e0,736,1
08002bbc,thunk_FUN_08002c94,4,1
08002bc0,FUN_08002bc0,178,1
08002c94,FUN_08002c94,38,1
08002cb4,FUN_08002cb4,86,1
08002d0c,FUN_08002d0c,136,1
08002dd4,FUN_08002dd4,552,1
08002f30,FUN_08002f30,292,1
08002fd8,FUN_08002fd8,74,1
08003054,FUN_08003054,978,1
0800355c,FUN_0800355c,1558,1
08003cf4,FUN_08003cf4,180,1
08003e24,FUN_08003e24,208,1
08003fc0,FUN_08003fc0,500,1
080041cc,FUN_080041cc,118,1
08004250,FUN_08004250,84,1
080042d0,FUN_080042d0,122,1
0800434a,FUN_0800434a,78,1
08004364,FUN_08004364,46,1
080043c8,FUN_080043c8,6,1
080043d4,FUN_080043d4,44,1
08004404,FUN_08004404,350,1
080045e4,FUN_080045e4,2,1
080045e6,FUN_080045e6,204,1
08004714,FUN_08004714,152,1
080047d8,FUN_080047d8,76,1
08004840,FUN_08004840,22,1
08004856,FUN_08004856,196,1
0800491c,FUN_0800491c,200,1
080049e8,FUN_080049e8,62,1
08004a26,FUN_08004a26,90,1
08004a80,FUN_08004a80,66,1
08004ac4,FUN_08004ac4,48,1
08004af8,FUN_08004af8,34,1
08004b20,FUN_08004b20,48,1
08004b50,FUN_08004b50,32,1
08004b70,FUN_08004b70,4,1
08004b78,FUN_08004b78,20,1
08004b90,FUN_08004b90,252,1
08004ca8,FUN_08004ca8,2900,1
080058f8,FUN_080058f8,248,1
080059f0,FUN_080059f0,28,1
08005a58,FUN_08005a58,24,1
08005a78,FUN_08005a78,24,1
08005ab8,FUN_08005ab8,6,1
08005ac4,FUN_08005ac4,366,1
08005c48,FUN_08005c48,1656,1
080062fc,FUN_080062fc,36,1
08006320,FUN_08006320,46,1
08006364,FUN_08006364,10,1
0800636e,FUN_0800636e,30,1
0800638c,FUN_0800638c,54,1
080063c2,FUN_080063c2,20,1
080063d8,FUN_080063d8,64,1
08006408,FUN_08006408,16,1
08006418,FUN_08006418,54,1
0800644e,FUN_0800644e,32,1
0800646e,FUN_0800646e,14,1
0800647c,FUN_0800647c,80,1
080064cc,FUN_080064cc,18,1
080064e4,FUN_080064e4,26,1
080064fe,FUN_080064fe,82,1
08006550,FUN_08006550,12,1
08006560,FUN_08006560,50,1
08006598,FUN_08006598,30,1
080065b8,FUN_080065b8,104,1
08006658,FUN_08006658,402,1
080068f4,FUN_080068f4,294,1
08006ac0,FUN_08006ac0,412,1
08006d3c,FUN_08006d3c,414,1
08006fe8,FUN_08006fe8,318,1
080071c0,FUN_080071c0,2,1
080071c2,FUN_080071c2,56,1
0800770c,FUN_0800770c,128,1
0800779c,FUN_0800779c,78,1
08007814,FUN_08007814,154,1
080078e8,FUN_080078e8,22,1
08007900,FUN_08007900,64,1
08007948,FUN_08007948,30,1
0800796c,FUN_0800796c,94,1
080079ec,FUN_080079ec,232,1
08007afc,FUN_08007afc,102,1
08007b84,FUN_08007b84,6,1
08007b90,FUN_08007b90,6,1
08007b9c,FUN_08007b9c,78,1
08007bea,FUN_08007bea,70,1
08007c30,FUN_08007c30,78,1
08007c80,FUN_08007c80,34,1
08007cac,FUN_08007cac,166,1
08007d7c,FUN_08007d7c,44,1
08007dac,FUN_08007dac,44,1
08007ddc,FUN_08007ddc,38,1
08007e08,FUN_08007e08,34,1
08007e30,FUN_08007e30,1990,1
08008960,FUN_08008960,56,1
080089b4,FUN_080089b4,70,1
080089e4,FUN_080089e4,48,1
08008a14,FUN_08008a14,16,1
08008a24,FUN_08008a24,28,1
08008a40,FUN_08008a40,66,1
08008a88,FUN_08008a88,28,1
08008aa4,FUN_08008aa4,24,1
08008ac0,FUN_08008ac0,100,1
08008b28,FUN_08008b28,10,1
08008b32,FUN_08008b32,10,1
08008b3c,FUN_08008b3c,66,1
08008b80,FUN_08008b80,34,1
08008ba8,FUN_08008ba8,44,1
08008bd4,FUN_08008bd4,62,1
08008c38,FUN_08008c38,96,1
08008cd0,FUN_08008cd0,96,1
08008d70,thunk_FUN_08008d74,2,1
08008d74,FUN_08008d74,14,1
08008d80,FUN_08008d80,24,1
08008d98,FUN_08008d98,128,1
08008e1c,FUN_08008e1c,24,1
08008e38,FUN_08008e38,12,1
08008e48,FUN_08008e48,220,1
08008f24,FUN_08008f24,348,1
080090d8,FUN_080090d8,536,1
0800931c,FUN_0800931c,186,1
080094ac,FUN_080094ac,106,1
0800951c,FUN_0800951c,188,1
08009638,FUN_08009638,36,1
08009674,FUN_08009674,162,1
08009730,FUN_08009730,8,1
08009738,FUN_08009738,988,1
08009d60,FUN_08009d60,88,1
08009d7c,FUN_08009d7c,70,1
08009d90,FUN_08009d90,168,1
08009e3c,FUN_08009e3c,28,1
08009e60,FUN_08009e60,112,1
08009efc,FUN_08009efc,194,1
08009fbe,FUN_08009fbe,254,1
0800a0bc,FUN_0800a0bc,180,1
0800a170,FUN_0800a170,468,1
0800a348,FUN_0800a348,130,1
0800a3cc,FUN_0800a3cc,24,1
0800a3ec,FUN_0800a3ec,56,1
0800a42c,FUN_0800a42c,88,1
0800a494,FUN_0800a494,12,1
0800a4a4,FUN_0800a4a4,98,1
0800a518,FUN_0800a518,32,1
0800a538,FUN_0800a538,32,1
0800a558,FUN_0800a558,32,1
0800a578,FUN_0800a578,54,1
0800a5ae,FUN_0800a5ae,136,1
0800a636,FUN_0800a636,28,1
0800a654,FUN_0800a654,18,1
0800a66c,FUN_0800a66c,30,1
0800a68a,FUN_0800a68a,100,1
0800a6f0,FUN_0800a6f0,70,1
0800a790,FUN_0800a790,32,1
0800a7b4,FUN_0800a7b4,82,1
0800a864,FUN_0800a864,44,1
0800a8b8,FUN_0800a8b8,80,1
0800a910,FUN_0800a910,130,1
0800a998,FUN_0800a998,40,1
0800aa14,FUN_0800aa14,28,1
0800aa78,FUN_0800aa78,8,1
0800aa84,FUN_0800aa84,56,1
0800aadc,FUN_0800aadc,12,1
0800aaec,FUN_0800aaec,106,1
0800abf8,FUN_0800abf8,44,1
0800ac28,FUN_0800ac28,2,1
0800ac2c,FUN_0800ac2c,24,1
0800ac48,FUN_0800ac48,200,1
0800ad14,FUN_0800ad14,2,1
0800ad16,FUN_0800ad16,2,1
0800ad18,FUN_0800ad18,96,1
0800ad90,FUN_0800ad90,26,1
0800adb0,FUN_0800adb0,18,1
0800adc4,FUN_0800adc4,104,1
0800ae40,FUN_0800ae40,48,1
0800ae90,FUN_0800ae90,24,1
0800aea8,FUN_0800aea8,64,1
0800af14,FUN_0800af14,60,1
0800af8c,FUN_0800af8c,106,1
0800b010,FUN_0800b010,120,1
0800b08c,FUN_0800b08c,144,1
0800b184,FUN_0800b184,122,1
0800b38c,FUN_0800b38c,122,1
0800b406,FUN_0800b406,58,1
0800b440,FUN_0800b440,94,1
0800b4a4,FUN_0800b4a4,148,1
0800b548,FUN_0800b548,98,1
0800b5aa,FUN_0800b5aa,30,1
0800b5c8,FUN_0800b5c8,20,1
0800b5dc,FUN_0800b5dc,32,1
0800b5fc,FUN_0800b5fc,52,1
0800b630,FUN_0800b630,66,1
0800b678,FUN_0800b678,418,1
0800b81a,FUN_0800b81a,98,1
0800b87c,FUN_0800b87c,314,1
0800b9b6,FUN_0800b9b6,64,1
0800b9f6,FUN_0800b9f6,142,1
0800ba84,FUN_0800ba84,368,1
