08000000 - 080fffff  ram  r=true w=true x=true vol=false
20000000 - 20017fff  SRAM  r=true w=false x=false vol=false
40000000 - 400000ff  TIMER1  r=true w=true x=false vol=true
40000400 - 400004ff  TIMER2  r=true w=true x=false vol=true
40000800 - 400008ff  TIMER3  r=true w=true x=false vol=true
40000c00 - 40000cff  TIMER4  r=true w=true x=false vol=true
40001000 - 4000103f  TIMER5  r=true w=true x=false vol=true
40001400 - 4000143f  TIMER6  r=true w=true x=false vol=true
40001800 - 400018ff  TIMER11  r=true w=true x=false vol=true
40001c00 - 40001cff  TIMER12  r=true w=true x=false vol=true
40002000 - 400020ff  TIMER13  r=true w=true x=false vol=true
40002800 - 4000283f  RTC  r=true w=true x=false vol=true
40002c00 - 40002c3f  WWDGT  r=true w=true x=false vol=true
40003000 - 4000303f  FWDGT  r=true w=true x=false vol=true
40003800 - 40003883  SPI1  r=true w=true x=false vol=true
40003c00 - 40003c83  SPI2  r=true w=true x=false vol=true
40004400 - 4000448b  USART1  r=true w=true x=false vol=true
40004800 - 4000488b  USART2  r=true w=true x=false vol=true
40004c00 - 40004c3f  UART3  r=true w=true x=false vol=true
40005000 - 4000503f  UART4  r=true w=true x=false vol=true
40005400 - 40005493  I2C0  r=true w=true x=false vol=true
40005800 - 40005893  I2C1  r=true w=true x=false vol=true
40006400 - 4000671f  CAN0  r=true w=true x=false vol=true
40006800 - 40006b1f  CAN1  r=true w=true x=false vol=true
40006c00 - 40006cbf  BKP  r=true w=true x=false vol=true
40007000 - 4000703f  PMU  r=true w=true x=false vol=true
40007400 - 4000743f  DAC  r=true w=true x=false vol=true
4000c800 - 4000c83f  CTC  r=true w=true x=false vol=true
40010000 - 4001003f  AFIO  r=true w=true x=false vol=true
40010400 - 4001043f  EXTI  r=true w=true x=false vol=true
40010800 - 4001083f  GPIOA  r=true w=true x=false vol=true
40010c00 - 40010c3f  GPIOB  r=true w=true x=false vol=true
40011000 - 4001103f  GPIOC  r=true w=true x=false vol=true
40011400 - 4001143f  GPIOD  r=true w=true x=false vol=true
40011800 - 4001183f  GPIOE  r=true w=true x=false vol=true
40011c00 - 40011c3f  GPIOF  r=true w=true x=false vol=true
40012000 - 4001203f  GPIOG  r=true w=true x=false vol=true
40012400 - 40012483  ADC0  r=true w=true x=false vol=true
40012800 - 40012883  ADC1  r=true w=true x=false vol=true
40012c00 - 40012cff  TIMER0  r=true w=true x=false vol=true
40013000 - 40013083  SPI0  r=true w=true x=false vol=true
40013400 - 400134ff  TIMER7  r=true w=true x=false vol=true
40013800 - 4001388b  USART0  r=true w=true x=false vol=true
40013c00 - 40013c83  ADC2  r=true w=true x=false vol=true
40014c00 - 40014cff  TIMER8  r=true w=true x=false vol=true
40015000 - 400150ff  TIMER9  r=true w=true x=false vol=true
40015400 - 400154ff  TIMER10  r=true w=true x=false vol=true
40020000 - 4002008f  DMA0  r=true w=true x=false vol=true
40020400 - 4002048f  DMA1  r=true w=true x=false vol=true
40021000 - 400210e7  RCU  r=true w=true x=false vol=true
40022000 - 40022103  FMC  r=true w=true x=false vol=true
40023000 - 4002303f  CRC  r=true w=true x=false vol=true
40028000 - 4002805f  ENET_MAC  r=true w=true x=false vol=true
40028100 - 400281c7  ENET_MSC  r=true w=true x=false vol=true
40028700 - 4002873f  ENET_PTP  r=true w=true x=false vol=true
40029000 - 40029057  ENET_DMA  r=true w=true x=false vol=true
40029080 - 400290bf  ENET_MAC_FCTH  r=true w=true x=false vol=true
50000000 - 5000010f  USBFS_GLOBAL  r=true w=true x=false vol=true
50000400 - 500005f3  USBFS_HOST  r=true w=true x=false vol=true
50000800 - 50000b73  USBFS_DEVICE  r=true w=true x=false vol=true
50000e00 - 50000e3f  USBFS_PWRCLK  r=true w=true x=false vol=true
a0000000 - a000011f  EXMC  r=true w=true x=false vol=true
e000e100 - e000ef03  NVIC  r=true w=true x=false vol=true
e0042000 - e004203f  DBG  r=true w=true x=false vol=true
