addr,name,size,decomp_ok
3f406ec5,FUN_3f406ec5,1,1
3f406ed8,FUN_3f406ed8,1,1
3f410267,FUN_3f410267,1,1
3f4156df,FUN_3f4156df,1,1
3ffc1098,FUN_3ffc1098,1,1
400011cc,FUN_400011cc,1,1
40001274,FUN_40001274,1,1
400013ac,FUN_400013ac,1,1
4000143c,FUN_4000143c,1,1
400014c0,FUN_400014c0,1,1
400015d4,FUN_400015d4,1,1
400016b0,FUN_400016b0,1,1
40001708,FUN_40001708,1,1
40001778,FUN_40001778,1,1
400017dc,FUN_400017dc,1,1
40001844,FUN_40001844,1,1
40001e08,FUN_40001e08,1,1
40001e14,FUN_40001e14,1,1
40001e38,FUN_40001e38,1,1
40001e90,FUN_40001e90,1,1
40002590,FUN_40002590,1,1
400026e4,FUN_400026e4,1,1
40002954,FUN_40002954,1,1
40002a78,FUN_40002a78,1,1
40002ac4,FUN_40002ac4,1,1
40002b30,FUN_40002b30,1,1
40002b90,FUN_40002b90,1,1
40002c34,FUN_40002c34,1,1
40002ed0,FUN_40002ed0,1,1
40004100,phy_get_romfuncs,1,1
400041a4,rom_i2c_writeReg,1,1
4000681c,intr_matrix_set,1,1
40007d54,ets_printf,1,1
400081d4,rtc_get_reset_reason,1,1
40008534,ets_delay_us,1,1
40008658,ets_efuse_get_spiconfig,1,1
400090cc,uart_div_modify,1,1
40009a14,Cache_Flush_rom,1,1
40009a84,Cache_Read_Enable_rom,1,1
40009ab8,Cache_Read_Disable_rom,1,1
40009edc,gpio_matrix_in,1,1
40009f0c,gpio_matrix_out,1,1
4000ab7c,roundup2,1,1
4000bfdc,_xtos_set_intlevel,1,1
4000c1f4,FUN_4000c1f4,1,1
4000c260,FUN_4000c260,1,1
4000c2c8,FUN_4000c2c8,1,1
4000c3c0,FUN_4000c3c0,1,1
4000c44c,FUN_4000c44c,1,1
4000c518,FUN_4000c518,1,1
4000c53c,FUN_4000c53c,1,1
4000c5f4,FUN_4000c5f4,1,1
4000c674,FUN_4000c674,1,1
4000c818,FUN_4000c818,1,1
4000c84c,FUN_4000c84c,1,1
4000c8b0,FUN_4000c8b0,1,1
4000c938,FUN_4000c938,1,1
4000c944,FUN_4000c944,1,1
4000c988,FUN_4000c988,1,1
4000ca84,FUN_4000ca84,1,1
4000cff8,FUN_4000cff8,1,1
4000d280,FUN_4000d280,1,1
4000f350,FUN_4000f350,1,1
40015c98,AddBigHexModP256,1,1
40015e8c,SubtractBigHexMod256,1,1
400160b8,MultiplyBigHexModP256,1,1
40016804,ecc_point_multiplication_uint8_256,1,1
4002cec4,lc_cmd_cmp_bd_addr_send,1,1
4002f488,lc_hci_cmd_handler_tab_p_get,1,1
4002f494,lc_default_state_tab_p_get,1,1
40032bd4,FUN_40032bd4,1,1
400426f0,llcp_con_up_req_handler,1,1
40043f64,llcp_pdu_handler_tab_p_get,1,1
40046058,llc_default_state_tab_p_get,1,1
400468e4,lld_evt_elt_wait_get,1,1
4004c920,llm_hci_cmd_handler_tab_p_get,1,1
4004e718,llm_default_state_tab_p_get,1,1
4005425c,lm_hci_cmd_handler_tab_p_get,1,1
40054268,lm_default_state_tab_p_get,1,1
40056424,FUN_40056424,1,1
400566b4,FUN_400566b4,1,1
400566c4,FUN_400566c4,1,1
40056714,FUN_40056714,1,1
4005681c,FUN_4005681c,1,1
4005692c,FUN_4005692c,1,1
4005893c,FUN_4005893c,1,1
40058cc8,FUN_40058cc8,1,1
40058f3c,FUN_40058f3c,1,1
40059108,FUN_40059108,1,1
40059320,FUN_40059320,1,1
400593d4,FUN_400593d4,1,1
400595fc,FUN_400595fc,1,1
4005cfec,crc32_le,1,1
4005d144,esp_crc8,1,1
4005da7c,FUN_4005da7c,1,1
4005da9c,FUN_4005da9c,1,1
4005db1c,FUN_4005db1c,1,1
40062bc8,esp_rom_spiflash_config_clk,1,1
4006358c,FUN_4006358c,1,1
400636a8,FUN_400636a8,1,1
400636dc,FUN_400636dc,1,1
40063704,FUN_40063704,1,1
40063768,FUN_40063768,1,1
40063790,FUN_40063790,1,1
400637f4,FUN_400637f4,1,1
40064ae0,FUN_40064ae0,1,1
400813a0,FUN_400813a0,1,1
400813a8,FUN_400813a8,147,1
400814c3,FUN_400814c3,38,1
400814ec,call_start_cpu0_entry,8,1
40081830,FUN_40081830,38,1
40081858,FUN_40081858,79,1
400818ac,FUN_400818ac,40,1
40081914,FUN_40081914,41,1
40081940,FUN_40081940,26,1
4008195c,FUN_4008195c,18,1
40081970,FUN_40081970,18,1
40081984,FUN_40081984,46,1
400819b4,FUN_400819b4,28,1
400819d0,FUN_400819d0,354,1
40081b34,FUN_40081b34,62,1
40081b74,FUN_40081b74,24,1
40081b90,FUN_40081b90,71,1
40081bd8,FUN_40081bd8,336,1
40081d2c,FUN_40081d2c,40,1
40081d54,FUN_40081d54,29,1
40081d74,FUN_40081d74,37,1
40081d9c,FUN_40081d9c,31,1
40081df0,FUN_40081df0,20,1
40081e04,FUN_40081e04,12,1
40081e10,FUN_40081e10,17,1
40081e24,FUN_40081e24,17,1
40081e38,FUN_40081e38,17,1
40081e4c,FUN_40081e4c,18,1
40081e70,FUN_40081e70,17,1
40081e84,FUN_40081e84,16,1
40081e94,FUN_40081e94,13,1
40081ea4,FUN_40081ea4,20,1
40081eb8,FUN_40081eb8,20,1
40081ecc,FUN_40081ecc,20,1
40081ee0,FUN_40081ee0,18,1
40081f00,FUN_40081f00,18,1
40081f1c,FUN_40081f1c,8,1
40081f24,FUN_40081f24,21,1
40081f3c,FUN_40081f3c,12,1
40081f48,FUN_40081f48,17,1
40081f5c,FUN_40081f5c,10,1
40081f68,FUN_40081f68,15,1
40081f8c,FUN_40081f8c,17,1
40081fa0,FUN_40081fa0,16,1
40081fb0,FUN_40081fb0,33,1
40081fd4,FUN_40081fd4,236,1
400820c4,FUN_400820c4,36,1
400820e8,FUN_400820e8,83,1
4008213c,FUN_4008213c,54,1
40082174,FUN_40082174,205,1
40082248,FUN_40082248,34,1
4008226c,FUN_4008226c,87,1
400822c8,FUN_400822c8,54,1
40082300,FUN_40082300,10,1
4008230c,FUN_4008230c,10,1
40082318,FUN_40082318,29,1
40082338,FUN_40082338,44,1
40082364,FUN_40082364,5,1
40082370,FUN_40082370,3,1
40082378,FUN_40082378,14,1
40082388,FUN_40082388,16,1
40082398,FUN_40082398,24,1
400823b0,FUN_400823b0,8,1
400823b8,FUN_400823b8,7,1
400823c0,FUN_400823c0,58,1
400823fc,FUN_400823fc,59,1
4008243c,FUN_4008243c,82,1
40082490,FUN_40082490,67,1
400824d4,FUN_400824d4,116,1
40082550,FUN_40082550,180,1
40082604,FUN_40082604,51,1
40082638,FUN_40082638,16,1
40082648,FUN_40082648,5,1
40082650,FUN_40082650,11,1
4008265c,FUN_4008265c,46,1
400826a4,FUN_400826a4,23,1
400826bc,FUN_400826bc,105,1
40082728,FUN_40082728,19,1
4008273c,FUN_4008273c,33,1
40082760,FUN_40082760,97,1
400827c4,FUN_400827c4,123,1
40082840,FUN_40082840,128,1
400828c0,FUN_400828c0,76,1
4008290c,FUN_4008290c,7,1
40082914,FUN_40082914,89,1
40082970,FUN_40082970,17,1
40082984,FUN_40082984,31,1
400829a4,FUN_400829a4,26,1
400829c0,FUN_400829c0,69,1
40082a00,FUN_40082a00,2,1
40082a08,FUN_40082a08,20,1
40082a1c,FUN_40082a1c,256,1
40082b1c,FUN_40082b1c,92,1
40082b78,FUN_40082b78,10,1
40082b84,FUN_40082b84,30,1
40082ba4,FUN_40082ba4,44,1
400830a0,FUN_400830a0,8,1
400830c8,FUN_400830c8,140,1
4008315c,FUN_4008315c,23,1
40083174,FUN_40083174,87,1
400831e0,FUN_400831e0,19,1
400831f4,FUN_400831f4,57,1
40083230,FUN_40083230,14,1
40083240,FUN_40083240,14,1
40083250,FUN_40083250,16,1
40083260,FUN_40083260,15,1
40083270,FUN_40083270,15,1
40083280,FUN_40083280,14,1
4008329c,FUN_4008329c,7,1
400832a4,FUN_400832a4,14,1
400832c0,FUN_400832c0,7,1
400832c8,FUN_400832c8,19,1
400832dc,FUN_400832dc,55,1
40083314,FUN_40083314,83,1
40083368,FUN_40083368,14,1
40083378,FUN_40083378,32,1
400834cc,FUN_400834cc,14,1
400834dc,FUN_400834dc,56,1
40083514,FUN_40083514,327,1
40083660,FUN_40083660,140,1
400836ec,FUN_400836ec,22,1
40083704,FUN_40083704,54,1
4008373c,FUN_4008373c,38,1
40083764,FUN_40083764,20,1
40083778,FUN_40083778,18,1
400837b0,FUN_400837b0,10,1
400837bc,FUN_400837bc,10,1
400837c8,FUN_400837c8,12,1
400837d4,FUN_400837d4,16,1
400837e4,FUN_400837e4,10,1
400837f0,FUN_400837f0,17,1
40083804,FUN_40083804,29,1
40083824,FUN_40083824,10,1
40083830,FUN_40083830,8,1
40083838,FUN_40083838,18,1
400838a4,FUN_400838a4,38,1
400838cc,FUN_400838cc,66,1
40083910,FUN_40083910,47,1
40083940,FUN_40083940,21,1
400839a8,FUN_400839a8,6,1
40083df8,FUN_40083df8,10,1
40083e08,FUN_40083e08,155,1
40083ebc,FUN_40083ebc,10,1
4008443c,FUN_4008443c,19,1
40084480,FUN_40084480,47,1
400844c4,FUN_400844c4,88,1
40084680,FUN_40084680,3,1
4008487c,FUN_4008487c,30,1
40085474,FUN_40085474,50,1
400859f4,FUN_400859f4,171,1
40085c94,FUN_40085c94,149,1
40085d2c,FUN_40085d2c,91,1
40085d8c,FUN_40085d8c,17,1
40086a38,FUN_40086a38,2,1
40086a68,FUN_40086a68,1,1
40086fdc,FUN_40086fdc,98,1
40087040,FUN_40087040,120,1
4008759c,FUN_4008759c,17,1
40087644,FUN_40087644,42,1
40088280,FUN_40088280,35,1
400882a4,FUN_400882a4,75,1
400883ac,FUN_400883ac,14,1
400883cc,FUN_400883cc,14,1
40088970,FUN_40088970,99,1
40088e48,FUN_40088e48,7,1
40088e50,FUN_40088e50,5,1
40088e58,FUN_40088e58,8,1
40088ea0,FUN_40088ea0,11,1
40088eb8,FUN_40088eb8,40,1
4008a2c0,FUN_4008a2c0,7,1
4008a2c8,FUN_4008a2c8,10,1
4008a2d8,FUN_4008a2d8,8,1
4008a2e0,FUN_4008a2e0,2,1
4008a2e8,FUN_4008a2e8,7,1
4008a2fc,FUN_4008a2fc,3,1
4008a30c,FUN_4008a30c,3,1
4008a314,FUN_4008a314,11,1
4008a324,FUN_4008a324,60,1
4008a360,FUN_4008a360,7,1
4008a368,FUN_4008a368,27,1
4008a390,FUN_4008a390,105,1
4008a3fc,FUN_4008a3fc,236,1
4008a4ec,FUN_4008a4ec,50,1
4008a520,FUN_4008a520,76,1
4008a56c,FUN_4008a56c,7,1
4008a574,FUN_4008a574,5,1
4008a57c,FUN_4008a57c,122,1
4008a6f8,FUN_4008a6f8,24,1
4008a964,FUN_4008a964,30,1
4008a984,FUN_4008a984,8,1
4008a98c,FUN_4008a98c,8,1
4008a994,FUN_4008a994,18,1
4008a9a8,FUN_4008a9a8,15,1
4008a9b8,FUN_4008a9b8,156,1
4008aa54,FUN_4008aa54,92,1
4008aab4,FUN_4008aab4,93,1
4008ab14,FUN_4008ab14,97,1
4008ab78,FUN_4008ab78,15,1
4008abe0,FUN_4008abe0,63,1
4008ac68,FUN_4008ac68,59,1
4008acb8,FUN_4008acb8,8,1
4008acc0,FUN_4008acc0,77,1
4008ad10,FUN_4008ad10,78,1
4008ad60,FUN_4008ad60,71,1
4008ada8,FUN_4008ada8,39,1
4008add0,FUN_4008add0,153,1
4008af00,FUN_4008af00,1,1
4008afac,FUN_4008afac,158,1
4008b050,FUN_4008b050,53,1
4008b088,FUN_4008b088,102,1
4008b0f0,FUN_4008b0f0,1690,1
4008b7a0,FUN_4008b7a0,37,1
4008b7c8,FUN_4008b7c8,496,1
4008b9bc,FUN_4008b9bc,31,1
4008b9dc,FUN_4008b9dc,42,1
4008ba08,FUN_4008ba08,110,1
4008ba78,FUN_4008ba78,62,1
4008bab8,FUN_4008bab8,464,1
4008bc8c,FUN_4008bc8c,144,1
4008bd68,FUN_4008bd68,32,1
4008bd88,FUN_4008bd88,80,1
4008be20,FUN_4008be20,80,1
4008be74,FUN_4008be74,217,1
4008bf54,FUN_4008bf54,146,1
4008bfec,FUN_4008bfec,42,1
4008c018,FUN_4008c018,29,1
4008c038,FUN_4008c038,27,1
4008c054,FUN_4008c054,15,1
4008c064,FUN_4008c064,33,1
4008c088,FUN_4008c088,119,1
4008c100,FUN_4008c100,20,1
4008c134,FUN_4008c134,103,1
4008c1a0,FUN_4008c1a0,504,1
4008c39c,FUN_4008c39c,5,1
4008c3a4,FUN_4008c3a4,102,1
4008c40c,FUN_4008c40c,136,1
4008c498,FUN_4008c498,7,1
4008c4a0,FUN_4008c4a0,83,1
4008c4f4,FUN_4008c4f4,75,1
4008c54c,FUN_4008c54c,1,1
4008c554,FUN_4008c554,9,1
4008c560,FUN_4008c560,70,1
4008c5a8,FUN_4008c5a8,64,1
