nth  paddr      vaddr      len size section type    string
----------------------------------------------------------
0    0x08000184 0x08000184 4   5            ascii   \v`pG
1    0x080001f3 0x080001f3 9   10           ascii    pGpGpGuF
2    0x08000204 0x08000204 4   6            ascii   iFSF
3    0x08000437 0x08000437 4   5            ascii   2\nh_
4    0x0800045f 0x0800045f 4   5            ascii   2\nh_
5    0x0800047f 0x0800047f 4   5            ascii   h\t\a\t
6    0x08000485 0x08000485 4   5            ascii   h\t\a\
7    0x08000512 0x08000512 4   5            ascii    F\b!
8    0x08000522 0x08000522 4   5            ascii    F@!
9    0x080005d2 0x080005d2 4   5            ascii   `h!h
10   0x08000625 0x08000625 5   6            ascii   !!p\a!
11   0x0800062d 0x0800062d 4   5            ascii   ` p@
12   0x0800077a 0x0800077a 4   6            ascii   pG\bh
13   0x080007d5 0x080007d5 4   5            ascii   `pG@
14   0x080007f9 0x080007f9 4   5            ascii   `pG@
15   0x0800081d 0x0800081d 4   5            ascii   `pG@
16   0x08000857 0x08000857 6   7            ascii   CA`pG@
17   0x08000885 0x08000885 4   5            ascii   hSh!
18   0x080008ea 0x080008ea 4   5            ascii   BapG
19   0x0800090d 0x0800090d 4   5            ascii   `pGB
20   0x08000939 0x08000939 4   5            ascii   dpGO
21   0x08000b0e 0x08000b0e 4   6            utf8    ہQhA
22   0x08000b19 0x08000b19 4   5            ascii   `Ph@
23   0x08000cd3 0x08000cd3 4   5            ascii   `Ph@
24   0x08000dcb 0x08000dcb 4   5            ascii   `Pl@
25   0x08000e87 0x08000e87 5   6            ascii   !\bFpG
26   0x08000ebd 0x08000ebd 3   5            ascii   !Ph
27   0x08000ec4 0x08000ec4 6   7            ascii   P`\bFpG
28   0x08000ecb 0x08000ecb 3   5            ascii   !Ph
29   0x08000ed2 0x08000ed2 6   7            ascii   P`\bFpG
30   0x08000ed9 0x08000ed9 3   5            ascii   !Pl
31   0x08000ee0 0x08000ee0 6   7            ascii   Pd\bFpG
32   0x08001112 0x08001112 4   6            utf8    ˁZhB
33   0x080014a1 0x080014a1 3   5            ascii   "Xh
34   0x080014af 0x080014af 3   5            ascii   "Xh
35   0x080014bd 0x080014bd 3   5            ascii   "Xl
36   0x080014d5 0x080014d5 4   5            ascii   hpGp
37   0x08001531 0x08001531 4   5            ascii   h()%
38   0x08001546 0x08001546 4   5            ascii   vF4`
39   0x08001553 0x08001553 4   5            ascii   hH)%
40   0x08001575 0x08001575 4   5            ascii   hH)%
41   0x08001597 0x08001597 4   5            ascii   hH)%
42   0x080015b9 0x080015b9 4   5            ascii   hH)%
43   0x080015db 0x080015db 4   5            ascii   hH)%
44   0x080015ff 0x080015ff 4   5            ascii   hH)%
45   0x08001621 0x08001621 4   5            ascii   hH)%
46   0x08001642 0x08001642 5   6            ascii   Eh()%
47   0x08001658 0x08001658 6   7            ascii   vF4`E`
48   0x08001684 0x08001684 5   6            ascii   EhH)%
49   0x0800169b 0x0800169b 5   6            ascii   F4`E`
50   0x080016a6 0x080016a6 5   6            ascii   EhH)%
51   0x080016bd 0x080016bd 5   6            ascii   F4`E`
52   0x080016c8 0x080016c8 5   6            ascii   EhH)%
53   0x080016df 0x080016df 5   6            ascii   F4`E`
54   0x080016ea 0x080016ea 5   6            ascii   EhH)%
55   0x08001701 0x08001701 5   6            ascii   F4`E`
56   0x0800170c 0x0800170c 5   6            ascii   EhH)%
57   0x08001723 0x08001723 5   6            ascii   F4`E`
58   0x0800172e 0x0800172e 5   6            ascii   EhH)%
59   0x08001745 0x08001745 5   6            ascii   F4`E`
60   0x08001752 0x08001752 5   6            ascii   DhH)$
61   0x08001767 0x08001767 4   5            ascii   `E`p
62   0x08001784 0x08001784 4   5            ascii    F\a!
63   0x08001790 0x08001790 4   5            ascii    Fb!
64   0x08001798 0x08001798 4   5            ascii    F\a!
65   0x080017a4 0x080017a4 4   5            ascii    Ft!
66   0x080017ac 0x080017ac 4   5            ascii    F\a!
67   0x080017b8 0x080017b8 4   5            ascii    Fl!
68   0x080017ec 0x080017ec 4   5            ascii    F\a!
69   0x080017f8 0x080017f8 4   5            ascii    Fe!
70   0x08001800 0x08001800 4   5            ascii    F\a!
71   0x0800180c 0x0800180c 4   5            ascii    Fn!
72   0x08001814 0x08001814 4   5            ascii    F\a!
73   0x08001820 0x08001820 4   5            ascii    Fd!
74   0x0800183f 0x0800183f 5   6            ascii   ( F\a!
75   0x0800184c 0x0800184c 4   5            ascii    Fc!
76   0x08001854 0x08001854 4   5            ascii    F\a!
77   0x08001860 0x08001860 4   5            ascii    Fr!
78   0x08001868 0x08001868 4   5            ascii    F\a!
79   0x08001874 0x08001874 4   5            ascii    Fc!
80   0x0800187c 0x0800187c 4   5            ascii    F\a!
81   0x08001888 0x08001888 4   5            ascii    F1F
82   0x08001890 0x08001890 4   5            ascii    F\a!
83   0x080018a4 0x080018a4 4   5            ascii    F\a!
84   0x080018bc 0x080018bc 4   5            ascii    F\a!
85   0x08001920 0x08001920 4   5            ascii    F\a!
86   0x0800192c 0x0800192c 4   5            ascii    Fo!
87   0x08001934 0x08001934 4   5            ascii    F\a!
88   0x08001940 0x08001940 4   5            ascii    Fk!
89   0x08001948 0x08001948 4   5            ascii    F\a!
90   0x08001954 0x08001954 4   5            ascii    F!!
91   0x080019b1 0x080019b1 4   5            ascii   h9h*
92   0x080019b6 0x080019b6 6   7            ascii   \bD DQh
93   0x080019d8 0x080019d8 7   8            ascii   8h0D8`A
94   0x080019ec 0x080019ec 4   5            ascii    F\a!
95   0x080019f8 0x080019f8 4   5            ascii    Fo!
96   0x08001a00 0x08001a00 4   5            ascii    F\a!
97   0x08001a0c 0x08001a0c 4   5            ascii    Fk!
98   0x08001a14 0x08001a14 4   5            ascii    F\a!
99   0x08001a20 0x08001a20 4   5            ascii    F!!
100  0x08001b0d 0x08001b0d 4   5            ascii   PpG@
101  0x08001b20 0x08001b20 4   5            ascii   \b`pG
102  0x08001b4a 0x08001b4a 5   7            utf8    =\f\rՓj
103  0x08001b80 0x08001b80 8   9            ascii   SaqD\vF?)
104  0x08001bf5 0x08001bf5 4   5            ascii   \a\b\tA
